Year,Date,Amount,Description,Category,Sold By,Importance
2021,26/11/2021,34.00,"UV Sun Protection Arm Sleeves - Cooling Compression Sleeves for Men & Women - UPF 50 Arm Cover/Shield for Basketball, Running, Cycling, Golf, Volleyball, Baseball, Football & Other Outdoor Sports",Miscellaneous,Fabrik collection,Low 
2021,28/11/2021,99.99,"High-Grade Wooden Suit Hangers- Smooth Finish Solid Wood Coat Hanger with Non Slip Pants Bar, 360° Swivel Hook and Precisely Cut Notches for Camisole, Jacket, Pant, Dress Clothes Hangers (30 Pack)",Garments & Laundry Supplies,ApparelPoint,High
2021,28/11/2021,27.00,"Nutricook Digital Kitchen Scale Eko by Nutribullet, 5kg Capacity, Stainless Steel Food scale for Baking and Cooking - 4 Weighing Sensors, Tare/Zero, Auto-Off & Auto Calibrate Function,2 Years Warranty",Kitchen Acessories ,Amazon.ae,High
2021,28/11/2021,30.99,"3 PCS Neck Gaiter Fishing Mask Bandana Sun Wind Dust Protection UV Headwear Balaclava Magic Scarf 1 Pair Wristband for Men Women Hunting, Cycling, Motorcycling, Running",Miscellaneous,UAE Direct,Low 
2021,28/11/2021,67.20,"OPTIMUM NUTRITION CLA Natural Weight Loss Fat Burner Supplement For Men and Women, 750 mg, 90 Softgels",Supplements ,Amazon.ae,High
2021,28/11/2021,44.03,"Think Straight: Change Your Thoughts, Change Your Life",Books ,Amazon US,Medium
2021,30/11/2021,17.98,Clothes Laundry Folder Flip Speed Magic Shirts Folding Board,Garments & Laundry Supplies, ج- متجر متنوع,High
2021,05/12/2021,99.99,"High-Grade Wooden Suit Hangers- Smooth Finish Solid Wood Coat Hanger with Non Slip Pants Bar, 360° Swivel Hook and Precisely Cut Notches for Camisole, Jacket, Pant, Dress Clothes Hangers (30 Pack)",Garments & Laundry Supplies,ApparelPoint,High
2021,05/12/2021,20.58,"Princess DEYARCO Press Pillow, Microfibre, Standard, White, 48 X 70 cm",Bedding,Amazon.ae,High
2021,07/12/2021,45.00,Cino Cleano Espresso Machine Cleaning Tablets 8 Count,Coffee Acessories , Esthetica,High
2021,08/12/2021,66.99,"Descaler (2 Pack, 2 Uses Per Bottle) - Made in the USA - Universal Descaling Solution for Keurig, Nespresso, Delonghi and All Single Use Coffee and Espresso Machines",Coffee Acessories ,Impresa UAE,High
2021,10/12/2021,100.00,6-pack Replacement Charcoal Water filter Cartridges with Starter Kit Combo for Keurig single brewing system and some models of Breville by Geesta,Coffee Acessories , DuolaBeauty,Low 
2021,12/12/2021,39.74,"Scotchgard™ Stainless Steel Cleaner 7966-SG, 17.5 oz (495 ml.). 1 can/pack",Home Imporvement,Amazon.ae,Medium
2022,01/02/2022,12.45,"10 Pairs Natural Bamboo Chopsticks, 24cm Reusable Japanese Chinese Chop Stick, Hot Pot Chopsticks, Chopstix Dishwasher Safe Gift Set | Cooking Chop Stix for Noodles, Extra Long Kitchen Chop Sticks",Kitchen Acessories ,Amazon.ae,Medium
2022,03/02/2022,14.59,YISK Store Non Slip Bar Service Mat (Black),Coffee Acessories ,YISK Store,Medium 
2022,03/02/2022,39.00,"Oud Ya Aini Bakhoor عود يا عيني بخور Set of 2 Boxes & Oriental Exotic Bakhoor Burner by Dukhni. 9 Pieces of Bakhoor in Each Box. Authentic Arabic Scents. Perfect for Prayer, Meditation, Relaxation",Oudh & Oudh Accessories ,Flamingo8000,Low 
2022,03/02/2022,36.00,"Copper Turkish Coffee Pot, Greek Arabic Coffee Maker, Handmade Ottoman Hammered Cezve with Brass Handle, Jezve Ibrik Briki for the Stove Top (6.5 fl oz)
Sold by: A R T W A R E",Coffee Acessories ,A R T W A R E,Medium
2022,17/02/2022,30.45,"
Oral B Pro-Expert Pulsar Toothbrush, Multi Colour, Assorted, 35 Medium",Toiletries ,Amazon.ae,High
2022,17/02/2022,119.00,"Anker PowerCore Essential 20000 PD Portable Charger, High-Capacity 20000mAh 18W USB-C Power Delivery Power Bank for iPhone 11/11 Pro / 11 Pro Max/X /8",Phone Acessories,AnkerDirect AE,Medium
2022,03/03/2022,53.40,The 5 AM Club,Books ,Amazon.ae,Medium
2022,06/04/2022,38.05,"Sensodyne Multi Care + Whitening Toothpaste for Sensitive Teeth, Superior Whitening Action, 75ml, Pack of 2",Toiletries ,Amazon.ae,High
2022,06/04/2022,48.00,Professional Soft Steel Tip Darts with Aluminum Alloy Shaft Needle Nice Packing Gift Box Darts Set for Bristle Dartboard,Home Games ,NuSense-Womdee,Low 
2022,12/04/2022,39.85,"Mumoo Bear Bird Parrot Perch Toys, 7 Packs",Pet Acessories,Amazon.ae,Medium
